ID_,N_PATIO,N_REGISTRO,NOM_COMUN,NOM_CIENTIFICO,ESPECIE,OPERADOR,Latitudes,Longitudes,PROPIEDAD,Status,DAP_CM,ALTURA_M,RADIO_M,TIPO_PODA,TRATAMIENTO,OBSERVACIONES
,1,121,AISLANTUS,,INTRODUCIDA,MARIA,-33.41692000,-70.651798,CEMENTERIO,BUENO,,,,,,
,1,122,AISLANTUS,,INTRODUCIDA,MARIA,-33.41692100,-70.651902,SEPULTURA,BUENO,,,,,,
,1,123,CIPRES MEDITERRANEO,,INTRODUCIDA,CAMILO,-33.41684200,-70.651743,CEMENTERIO,BUENO,,,,,,
,1,124,CIPRES MEDITERRANEO,,INTRODUCIDA,CAMILO,-33.41680500,-70.651785,CEMENTERIO,REGULAR,,,,,,
,1,125,CIPRES MEDITERRANEO,,INTRODUCIDA,CAMILO,-33.41675300,-70.651855,CEMENTERIO,BUENO,,,,,,
,1,126,FALSA ACACIA,,INTRODUCIDA,CAMILO,-33.41676600,-70.651975,CEMENTERIO,MALO,,,,,,
,1,127,PIMIENTO BOLIVIANO,,INTRODUCIDA,CAMILO,-33.41677200,-70.652082,SEPULTURA,REGULAR,,,,,,
,1,128,COTO NADESTER,,INTRODUCIDA,CAMILO,-33.41678300,-70.652179,SEPULTURA,BUENO,,,,,,
,1,129,FALSA ACACIA,,INTRODUCIDA,CAMILO,-33.41683200,-70.652041,SEPULTURA,REGULAR,,,,,,
,1,130,FALSA ACACIA,,INTRODUCIDA,CAMILO,-33.41685500,-70.651978,SEPULTURA,BUENO,,,,,,
,1,131,LIGUSTRO,,INTRODUCIDA,CAMILO,-33.41688400,-70.651902,CEMENTERIO,MALO,,,,,,
,1,132,CIPRES MEDITERRANEO,,INTRODUCIDA,CAMILO,-33.41689000,-70.651912,CEMENTERIO,BUENO,,,,,,
,1,133,CIPRES MEDITERRANEO,,INTRODUCIDA,CAMILO,-33.41688700,-70.651734,CEMENTERIO,BUENO,,,,,,
,1,134,PIMIENTO BOLIVIANO,,INTRODUCIDA,CAMILO,-33.41717100,-70.652404,CEMENTERIO,BUENO,,,,,,
,1,135,CASUARINA,,INTRODUCIDA,BRYAN,-33.41713400,-70.652438,CEMENTERIO,BUENO,,,,,,
,1,136,CASUARINA,,INTRODUCIDA,BRYAN,-33.41709100,-70.652480,CEMENTERIO,BUENO,,,,,,
,1,137,CASUARINA,,INTRODUCIDA,BRYAN,-33.41707700,-70.652494,CEMENTERIO,BUENO,,,,,,
,1,138,AISLANTUS,,INTRODUCIDA,BRYAN,-33.41670900,-70.652112,CEMENTERIO,BUENO,,,,,,
,1,139,CASUARINA,,INTRODUCIDA,BRYAN,-33.41704500,-70.652444,CEMENTERIO,REGULAR,,,,,,
,1,140,CASUARINA,,INTRODUCIDA,BRYAN,-33.41703400,-70.652455,CEMENTERIO,BUENO,,,,,,
,1,141,CASUARINA,,INTRODUCIDA,BRYAN,-33.41700700,-70.652465,CEMENTERIO,BUENO,,,,,,
,1,142,CIRUELO,,INTRODUCIDA,BRYAN,-33.41693700,-70.652598,CEMENTERIO,BUENO,,,,,,
,1,143,CELTIS,,INTRODUCIDA,BRYAN,-33.41674500,-70.652074,CEMENTERIO,BUENO,,,,,,
,1,144,CIPRES MEDITERRANEO,,INTRODUCIDA,CAMILO,-33.41718400,-70.652562,CEMENTERIO,BUENO,,,,,,
,1,145,CIPRES MEDITERRANEO,,INTRODUCIDA,CAMILO,-33.41712100,-70.652533,CEMENTERIO,BUENO,,,,,,
,1,146,CIPRES MEDITERRANEO,,INTRODUCIDA,CAMILO,-33.41709900,-70.652538,CEMENTERIO,MALO,,,,,,
